ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial
2007-06-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2007-10-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2007-12-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2008-06-05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2009-04-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2008-10-15,76,248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2008-11-18,78,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.99
2009-01-28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2009-02-18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2009-05-05,87,6207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2009-04-15,0,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2009-07-27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99
2009-09-15,78,225,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.99
2009-07-16,76,866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2009-03-26,55,425,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99
2009-06-22,75,1195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2010-01-15,0,1084,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2006-09-14,70,226,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2006-09-14,65,307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2006-09-14,67,224,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2006-10-11,87,5130,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2006-10-25,94,887,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.99
2006-10-25,90,1328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2005-07-11,88,1641,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99
2006-10-25,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2007-04-06,67,143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2007-04-06,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2006-11-29,0,237684,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.99
2006-10-05,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,9.99
2007-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99
2006-11-07,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.99
2007-03-20,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99
2008-09-29,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9.99
2008-07-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99
2007-03-20,82,4657,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19.99
2007-07-17,80,104,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.99
2007-07-17,70,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.99
2007-06-26,77,2218,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
2007-03-05,80,2216,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
2007-07-17,93,3856,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19.99
2007-08-07,86,2212,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.99
2007-08-07,87,1715,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.99
2007-11-27,88,5418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.99
2012-10-29,78,891,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.95
2007-08-28,92,5160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2007-08-28,79,266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2007-11-27,85,549,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.99
2006-11-22,65,153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99
2010-09-02,60,726,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2011-08-26,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2011-08-26,74,135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2011-08-26,69,223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2006-12-14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99
2012-10-30,80,7873,0,0,1,1,0,0,1,0,0,0,0,0,0,0,9.99
2009-07-08,78,3763,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2009-07-08,0,373,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.99
2009-09-16,81,3535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2009-09-16,89,1433,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2009-07-08,0,370,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.99
2009-07-08,78,16580,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2009-07-08,70,151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2009-07-08,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.99
2010-10-25,67,1232,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.99
2006-12-21,81,846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2006-12-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
2007-02-02,72,1241,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.49
2007-03-13,70,453,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.99
2007-09-21,35,161,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99
2007-01-12,75,397,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19.99
2007-05-01,91,737,0,0,0,1,1,0,0,1,0,0,0,0,0,0,9.99
2011-10-28,79,1381,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0
2007-03-27,68,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.99
2007-07-03,77,333,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9.99
2007-06-26,66,499,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14.99
2007-06-12,66,1401,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2007-02-14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.99
2007-03-15,0,854,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.99
2007-03-15,0,244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.99
2007-03-15,87,877,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.99
2007-03-15,72,415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.99
2007-03-15,87,1144,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.99
2007-03-15,82,3895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.99
2007-03-15,76,214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.99
2007-03-15,75,1565,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.99
