,designation
Serradayres,1
Kreos Negroamaro,1
Oak-Aged,1
Old Gum Tree Vineyard,1
3 Horse Ranch Vineyard,1
Afternoon Delight Estate,1
Seis Meses,1
Carpoforo,1
Vivacious,1
Chevalier d'Anthelme,1
Sangiacomo Green Acres,1
Monopole Blues,1
Ripken Vineyards,1
Bla Bla Bla,1
Erdener Treppchen Herzlay Spätlese Goldkap,1
Cuvée St-Georges,1
Maus Vineyard,1
Château Soubiran,1
Xikbal Baja,1
Chêne d'Argent Estate Vineyard,1
Diva Spätlese,1
Glitter,1
Faustino de Autor Reserva Especial,1
Third Spoke Patrician Verona Vineyard,1
Monte Toro Roble,1
Brandal,1
Quinta do Cardo Special Selection,1
Brut Etoile,1
Terras do Grifo Selected Harvest,1
2?R,1
Instant Présent,1
Reserve Series Spirithouse,1
Sha'al Single Vineyard Late Harvest Kosher,1
Château du Souzy Nouveau,1
Julius Caesar,1
Les Boudalles,1
Nectaria Vendimia Tardia Botrytis,1
Espumante Brut Blanc de Blancs,1
La Classique,1
Vice Versa,1
Benegas Lynch,1
M Reserve,1
Sainte-Fleur,1
Aujourd'hui comme Autrefois,1
Svmma Varietals Estate Bottled Syrah-Cabernet Sauvignon-Petit Verdot,1
Wow Oui,1
Merriman Vineyard Estate,1
Apostoles Vinum Optimum Rare Signatum,1
Cuvée Reine Clothilde Reserve,1
Cuvée C.M.,1
Chateau de Bord,1
The Klein Klein Vineyard,1
Les Genêts Gris,1
Dolmo Roble,1
Felgaria,1
L'Alcalatén,1
Clone 337,1
Les Gourmandes,1
Estate Bubbles Sparkling Rosé,1
Vignes de la roche,1
Domaine de Caseneuve,1
Colombard-Sauvignon,1
Olivelands Vineyards,1
Cuvée del Fondatore,1
Pasos de San Martín,1
Luma Blanc,1
Royal City Northridge Vineyard,1
Sanguefreddo Extra Dry,1
Tree Frog,1
Sassella Vigna Regina Riserva,1
Leclisse,1
Stags Leap District,1
Rive di Guia,1
"Smith Road Vineyards, Rows 2–5",1
Blonde,1
Terra di Lavoro,1
Brut Nature Limited Edition,1
Zagrà,1
Les Meyans Elégance,1
Extra Brut Costero,1
La Futaille,1
Domaine Cottebrune Transhumance,1
Cellar Selection Dry,1
Eléve en Fûts de Chêne,1
Cloud 9 Vineyards,1
Tinto St. Helena,1
A2O,1
Reserva Selection Brut,1
Bella Rossa Italian Style,1
Clos des Tessons,1
The Mongrel Sangiovese Blend,1
Rock n Red,1
Patrimonio Seleccion de Barricas,1
Adrien's Blend,1
Pigoudet Première,1
Frizzante Secco,1
Brava,1
St Andrews,1
Belzbrunnen,1
Gigama Grande Reserve,1
Chevalier,1
39 Barricas,1
Monogram,1
Gold Eagle Vineyard,1
Kapnias Vineyard Zygos,1
Selezione Gioacchino Garofoli,1
Les Pentes Douces,1
Serrig Schloss Saarsteiner Spätlese Erste Lage,1
Erdener Prälat GG Alte Reben Grosse Lage Dry,1
Beautiful Things,1
Emile Beranger,1
Numina Spirit Vineyard Gran Corte,1
Gran Lurton Corte Friulano,1
Kamal Estate Grown,1
Wy'East Vineyard,1
Finch Hollow,1
Coranya,1
Schelllmann Gumpoldskirchen Cuvée,1
Vigna Cristiana,1
Crofters Gimblett Gravels,1
Kaid Vendemmia Tardiva,1
Lacrimarosa,1
Leroy Vineyard,1
The Estates Evergreen Vineyard,1
Sanctissimus Riserva,1
Soliloquy,1
Gran Malbec,1
The Divas,1
Purple Mountain,1
Cuvée Shyrus,1
Cuvée Gaby,1
Valferana,1
Kellerberg  Trockenbeerenauslese,1
The Dark Side,1
Château du Souzy,1
Southern White,1
Cuvée Alexandre Atalayas Vineyard Made with Organic Grapes,1
Estate Grown Sustainably Farmed,1
Pecunia,1
Sonnenberg,1
Les Azerottes,1
Domaine Armand Gaston,1
Vers Pouilly,1
Collaboration Series II Ciel du Cheval Vineyard Red Wine,1
Ciàfu,1
Batù,1
Cuvée PHI,1
Jean Vincent,1
Domaine des Deux Roches Plénitude e Bonté,1
Vincent Vatan Sélection Silex,1
Casa das Mouras Reserva,1
La Salle aux Fées Sur Lie,1
Domaine Drouhin-Vaudon Montmains Premier Cru,1
Passion Reserve,1
Lot 707 Reserve,1
Amphora Vinho de Talha,1
Orange Apéritif,1
Fireman,1
Champs Perdrix,1
Two Terroirs,1
Rachtl Riserva,1
1772 Edna Ranch,1
1772 Pacific Wind,1
La Richemonne Premier Cru,1
Oppenheimer Sackträger Spätlese,1
Vigna Sant'Angelo,1
Wilson Ranch,1
4 Reserva,1
J,1
Quinta do Gradil Reserva Branco,1
Zenith de Fourcas Dupré,1
Finca Monte Lindo,1
Reserve Off-Dry,1
Ecstasy of Gold,1
National Geographic Ocean Reserve Blanc de Blancs Estate Bottled,1
Gavanza,1
Nolan Vineyard,1
The Row Find,1
La Pristina,1
Kirchweingarten Reserve,1
Here and Heaven John Sebastiano Vineyard,1
Caitlin's Select Estate Grown,1
Block 4SB20 Estate Grown,1
Brandan,1
Clone 337 Unfiltered,1
Cuvée 18 Mesi Metodo Classico,1
Kent Berry Vineyard,1
Esprit Rosé de Saignée,1
Ludi,1
Patergarten Old Vines,1
Four Boys Vineyard,1
Raflerjoch,1
Montetinello,1
Mayacamas Range,1
Placida,1
terra o.,1
The Fuder Single Vineyard Selection Matthews Lane,1
Estate Grown Grace Benoit Ranch,1
Nube Bianco,1
Viña Pomal Alto de la Caseta,1
Berncasteler Doctor GG,1
Rangen de Thann Grand Cru Clos Saint-Théobald Vendanges Tardives,1
Late Disgorged Brut Zero,1
Annaté V,1
Pedra de Guix,1
The Keep,1
Vers Chanes,1
Albesani Vigna Borgese,1
Bloom's Field,1
Wandering,1
Gabaxo,1
Kaseler Dominikanerberg Beerenauslese,1
Le Bancole,1
Cantina,1
Domaine Netofa,1
Renaissance Les Grandes Marnes,1
Rosé Grand Cru Brut,1
Segredos de São Miguel Reserva,1
Herdade de São Miguel Art.Terra Amphora Branco,1
Herdade de São Miguel Art.Terra Amphora Tinto,1
Monte Cascas Vinhas Velhas Old Vines,1
Buoni Anni Bianco,1
Cuvée Marcel Henri,1
Arrêt Buffatte,1
Amethystos Blanc,1
Love Ranch,1
Deen De Bortoli Vat 9,1
Insieme,1
From Single Vineyards Muscat de Limnos Grand Cru,1
Game Trail,1
La Majestueuse Brut Millesimé,1
Caspar Blanc de Noirs,1
Union School Vineyard,1
Equipo,1
Les Narbantons Premier Cru,1
Berg Roxheim Spätlese Erste Lage,1
Fog-Eater,1
Plunder,1
Los Niños Perdidos,1
Ottagono Riserva,1
Tried and True Liberty,1
Biokult Grüner Veltliner,1
Vintage 42,1
Baton Casal de Loivos,1
To Kalon Vineyard,1
Txtura 1,1
Boceto,1
Rosenberg Reserve,1
Lodi Native Maley's Lucas Rd Vineyard,1
Garretti,1
Purple Label,1
Cuvée 555 Brut,1
Alb Sec,1
The Tribe,1
dB Selection,1
Estate Grown Drummond Block,1
Trefiano Riserva,1
Pickett Road Block,1
Moulin de Duhart,1
Diamond Collection Silver Label,1
Escolle Vineyard,1
I Mille,1
E16 Selection,1
Benito Dusi Vineyard,1
Selection Parcellaire Fleur de Roc,1
Mémoire,1
Malibu Newton Canyon,1
Clos du Chapitre Monopole Premier Cru,1
Clos de Bully,1
Amethystos Rosé,1
Sawmill Creek Vineyards Rosé of,1
Riserva di Fizzano Single Vineyard Gran Selezione,1
Pavillon Rouge de Château Margaux Barrel sample,1
Patrician Verona Vineyard,1
Spécial Club Grand Cru Brut,1
Brosseau,1
Ultreia de Valtuille,1
La Putere,1
Cordon Bleu Brut Sélect,1
Avant Garde,1
Le Clos Blanc Beaune Grèves Premier Cru,1
Marquès de Borba Reserva,1
Gran Viña Sol,1
Caladoc-Alicante Boushet,1
Erdener Prälat Alte Reben GG Trocken,1
Quinta da Pancas Reserva Cabernet Sauvignon,1
Vinha de Defesa Rosé,1
R6 Riserva,1
Muscat d'Alsace,1
Rio Vista Vineyard 2A,1
Row Five,1
Margo,1
Private Gallery,1
Rachis Stone Tree Vineyard,1
Serrig Schloss Saarsteiner Eiswein,1
AB OVO,1
Serrig Schloss Saarsteiner Beerenauslese Goldkapsel,1
Wehlener Sonnenuhr Vat 59 Trockenbeerenauslese,1
Les Agaves,1
Les Grains,1
East Slope Single Vineyard,1
"Private Reserve, Elk Vineyard, Borden Ranch",1
Orthogneiss,1
Avery,1
Enrico VI,1
Clos Gaffelière,1
Home Run Red,1
Roc de Châteauvieux,1
Super Reserve Bruto,1
Heritage DuBrul Vineyard,1
Jungfer Auslese,1
Unico Reserva Especial,1
Fynbos,1
Walter's Vineyard,1
96 Cedars White Wine Artz Vineyard,1
Merlot-Touriga Franca,1
Marquès de Borba,1
Reserve Rare Cream,1
Bolney Bubbly Brut,1
Turonia,1
Black of Kalavryta,1
Cuvée MIllésimée Non Dosée,1
BFM Red,1
Artist Series #16,1
Carmela Benegas,1
Sarah,1
Three Pines,1
RFT Diamond T Vineyard Estate Grown,1
Más de Leda,1
Marina Espumante,1
Micro-lot Reserve,1
Luzon Verde Organic Grapes,1
Stolet,1
H Block,1
Springline,1
Reserve Fra Paolo,1
Les Bouthières,1
Vento di Mare Bio,1
Pas de Chat,1
Zette Rosé,1
Terre de Granit,1
Beamsville Bench,1
Millésime L'Exception Brut,1
Monte Velho Tinto,1
The Road Less Travelled,1
Referts Premier Cru,1
Ironclad,1
Riserva di Fizzano Gran Selezione Single Vineyard,1
Campè,1
Avize Grand Cru Blanc de Blancs Brut,1
Cote Est,1
Spruce Goose,1
Canadian Oak,1
Delicacé,1
Conde de Vimioso Colheita Selectionada,1
Quinta da Murta Classico,1
Quinta da Murta Espumante Brut Nature,1
Graf de La Tour,1
Herdade do Peso Vinhha do Monte,1
Hochterassen,1
Fireside,1
Grand' Arte Trincadeira,1
Jory Cuvée,1
La Violette,1
Terra d'Ouro,1
Dom Pérignon Oenothèque Brut,1
Beran Vineyard,1
Il Fattore,1
Therese Vineyards Dos Ninas Vineyard,1
The Octopus,1
Elyssia Gran Cuvee Brut,1
Reserva Special Edition,1
Kiedricher Trocken,1
Real Crianza,1
Alexia,1
Smooth,1
Te Awa,1
Spear,1
Les Granières de la Nerthe,1
Viñedos Centenarios,1
Ximenis,1
Blacktail Vineyard,1
Heredity,1
Chevalier-Montrachet La Cabotte,1
Monte Rosso Vineyard Reserve,1
Viña Coqueta,1
Reserva Old Vines Unfiltered,1
Portuguese Red,1
Reserva Cuvée TT,1
Candlestick,1
Uproar,1
XB,1
Otto The Sweet Blue musthaveamusCAT,1
Podere Caggiolo,1
Cuvée Deux,1
Signature Selection Rosé of,1
Abba Vineyard,1
Copper River Estate,1
Réserve de la Familie,1
Tanzen Dame Auten Vineyard Clone 239 Dry,1
Colomba Palatino,1
Luigi e Giovanna,1
Demora,1
Gemischter Satz Braitenpuechtorff,1
Mighty Mouse Reserve,1
Rossatz Federspiel,1
Ruster Ausbruch Essenz,1
Playmates,1
Les Jolies Filles One,1
2.3 Lafond Vineyard,1
No. 99 Icewine,1
Oak Knoll Vineyard,1
Jack's Reserve,1
Knockoff,1
B Extra Dry,1
Traminer Classic,1
Oltre Rosé Riserva,1
Anno Zero Extra Dry,1
Black Granite,1
Belairissime Château du Prieuré,1
Block 4SB20,1
Reviresco,1
Avesso,1
DFJ Pinot Noir-Alfrocheiro,1
Jubilant Reserve,1
Mélange de Trois,1
Quinta de Pancas Selecção Enólogo,1
Leveroni Vineyard,1
Abstberg Auslese Nr. 87,1
Kirchberg Bingen GG Erste Lage Trocken,1
Da Silva Riserva,1
Late Harvest Reserve,1
Pissarres,1
Mas Sinén Coster,1
Allegre Vineyard Verona White Blend,1
Corrida Red Wine,1
Duas Quintas Reserva Especial,1
Luchador,1
Cuvée Ernest Sélection des Grains Nobles,1
1910 Block Estate Grown,1
Watchdog Bella Collina Vineyard,1
Special Club Blanc de Blancs Chouilly Grand Cru Brut,1
Slice of Heaven Rita's Crown Vineyard,1
Oak Aged Icewine Andrew Peller Signature Series,1
Cuvée Vintage Brut,1
Block 5 Platinum,1
Sawmill Creek Vineyards Fred Block,1
Herdade das Servas Vinhas Velhas,1
White Tulip,1
Lost Draw Vineyards,1
Purple Haze Red,1
Insieme 49.41.10,1
Le Savetier,1
Clos de la Plante Martin,1
Les Beau Monts,1
73% Washington/27% Oregon,1
David Fulton Vineyard,1
Thomas Schmitt Private Collection Estate Bottled Qualitätswein,1
Domaine de Riaz,1
Wiener Triologie,1
Rohrendorfer Thalland,1
Domaine de Michelons,1
Don Nuzzo Passito,1
Red Thunder,1
Martinella Rosso,1
Réccua Reserva Especial,1
Monte do Enforcado Tinto,1
Extra Blanc de Blancs Brut,1
Vigna a Solatio Riserva,1
Dona Ermelinda,1
CA 4,1
Silencio,1
Quota 31,1
Fromm Vineyard,1
Pinot Blanc,1
Keepers of Tradition Vineyard,1
Homesteader,1
Grünlack Spätlese Trocken,1
Faneros,1
Sécret de la Famille,1
Aprile,1
Vigna Pedale Riserva,1
Ryan's Reserve Riviere Galets Estate Vineyard,1
100 Abades,1
White Franc,1
Seccopassa 'Appassimento',1
Comte de Rinken Blanc de Blancs Brut,1
Risuena,1
Stone Dwellers,1
La Storia Estate Bottled,1
Special Selection Old Vineyards,1
Single Vineyard Plot: Malva,1
L'Eclat,1
Dijon 777,1
Harris Kratka,1
Barker's Lane,1
Steingold,1
Inspiration 7.9,1
Tre Fratelli,1
Dry Creek Blend,1
Mantinia,1
Rivalta,1
Amber Dry Dakishvili Family Vineyards,1
Cru Classe,1
Roxy,1
Single Vineyard Series Carabella Vineyard,1
Suzanne's Estate,1
Estate Grown Grenache,1
Art House,1
Block 10 Whole Cluster,1
White Birch Vineyards,1
Astrea,1
I Croppi,1
Les Naugues Premier Cru,1
Prestigio Crianza,1
Sole Rosso,1
Pietramora Marzeno Riserva,1
Rüdesheimer Bischofsberg Kabinett Feinherb,1
Momtazi Vineyard Delara,1
Las Cerezas Vineyard,1
Cuvée Trockenbeerenauslese,1
Velocity Red,1
Cuveé Brut,1
Sous Frétilles Premier Cru,1
Quattordici,1
Vaggiolata,1
Maximum III,1
Twelve Row Block,1
Rich Red Winemaker's Blend,1
Pernalta Reserva,1
Quadrifolia,1
Madonna del Dono,1
Quinta do Outeiro Tinto,1
Red Meritage,1
Flos de Pinoso Made With Organic Grapes Macabeo & Airén,1
Vieille Vignes,1
Anna de Codorniu Brut Rosé,1
Metsuda Reserve Kosher,1
Clutha,1
Tinto Bruto,1
Winter's Hill Vineyard,1
El Médico,1
Century Vine Reserve,1
Kadette Dry Pinotage,1
Chevaux Noir,1
Monopole Soul,1
Ribeiro Santo Pinha,1
Semi Dry - Estate Bottled,1
Wysling Band of Sisters,1
Vico Riviera,1
Champs Royaux,1
Solms Astor Cape Jazz Shiraz,1
Hands,1
Quixote Merlot-Tempranillo-Petit Verdot,1
Mi Pasión,1
Le Bruciate,1
CCR Single Vineyard,1
Tombú Prieto Picudo,1
Truth Reserve,1
Gn,1
Sohm & Kracher,1
Trepat Rosado Brut,1
Cuore Della Vigna,1
Where Dreams Have No End,1
Vigneto du Lot,1
Ezio,1
Stephanie Proprietary,1
Primo Bacio,1
Marine,1
En Près Forêt,1
Resolution Peaks,1
Los Pasitos,1
The Stand,1
Deshora Brut Orgánico,1
Montaña Old Vines,1
Suprema 30 Meses,1
Tournant de Pouilly,1
Alba Valahica,1
Whisper,1
Les Sizies Premier Cru,1
Mormann,1
La Belouse,1
Coast Select,1
Freyja Lawrence Vineyards,1
5 Finques Reserva,1
de Pressée,1
20/20,1
Quinta do Valdoeiro Bruto,1
Tinto da Talha Grand Escolha,1
Sua Sponte,1
Grand Tradition,1
Est. 1975,1
Blanc Sec Terre Originelle,1
Three Hills,1
Kiona Vineyards,1
Quinta da Costa das Aguaneiras,1
Al Posto dei Fiori,1
Laurent Dufouleur Château Mi-Pont,1
Finca Espolla,1
Signature Series Raptor,1
Dry Wiltberger Vineyard Field Blend,1
La Mezcla,1
Sleeping Giant Boushey Vineyard,1
Retro,1
Cuvée les Alouettes,1
Alma Crimson,1
Genetin,1
Clos de Chaumont,1
Fleur de Montagne,1
Red Rock Ridge,1
Tentation Rouge,1
Le Charmel Sur Lie,1
Sugarille,1
Fleurs de Savagnin,1
Kammerner Lamm,1
Dicioccatore,1
Sin Madera,1
The August 1888,1
Priscus,1
Wills hills Vineyard,1
Cardinal Cusanus Stiftswein Wehlener Sonnenuhr Auslese,1
Single Vineyard Taylors Pass Vineyard,1
Chehalem Mountains,1
Gone Fishin',1
Millenio Gran Selezione,1
Bruciagna Gran Selezione,1
946 Sélection Parcellaire,1
Aroha,1
Cuvée Agnès de Couëdic,1
Bay Mist,1
Vigna di Saosent,1
Old Vines Ernesto Wickenden Vineyard,1
Quell,1
POP Earth Brut,1
Cote Blonde,1
Averoff Demi Sec Rosé,1
Finca Piedra Infinita,1
Black Bubbles Sparkling,1
Hossfield Vineyard,1
Burggarten Reserve,1
Monte da Cal Vinha de Saturno,1
Reserve San Pablo Vineyard Selección de Barricas,1
Passion Terroirs,1
Valdemoreda Blanco,1
Oda,1
Mor,1
Originel Made with Organically Grown Grapes,1
Sélection Delas,1
Vergel,1
Wonderful Nightmare Stoney Vine Vineyard,1
1753 Syrah-Vermentino,1
Vendôme,1
Graton's Choice,1
Quatre Melanges,1
Pink Bang,1
Les Lièvres,1
Le Stoppie,1
Mashup Solera V. 1,1
The Devil You Don't Know,1
Costa delle Corone,1
Gran X,1
Iron Bed Red,1
Button and Turkovich Vineyard,1
Wrangler Red High Elevation Collection,1
Estate Grown Ora Proprietary,1
Crimson Republica de'California,1
Klostersekt Brut,1
Pintail,1
Americano,1
Giall'oro Extra Dry,1
Garbèl Brut,1
Carte Turquoise,1
Sauvignon Blanc/Colombard,1
Margo Estate,1
Casa dei Bepi,1
Suarez Lastra Terroir Series Single Vineyard,1
Vigneto di Campo delle Strie,1
Ca' Florian,1
The Siren Bannockburn,1
Tilting at Windmills Old Gristina Vineyard,1
B&G; Reserve,1
Sun Tusque Dry,1
Peñamonte 3 Meses de Barrica,1
Portal Colheita Branco,1
Monte Toro Crianza,1
Lips,1
Caiado Tinto,1
Putnam Vineyard Rosé of,1
Seduction,1
Herdade dos Templários Grande Escolha,1
Xairel Tinto,1
Pouco-Comum,1
Rendezvous,1
Domaie Touzot,1
Pincushion Vineyard,1
Starr Road Ranch Old Vine,1
Amici & Amanti,1
Collegiata,1
Rosso di Forca,1
Riserva Villa Bonomi,1
Plata Gran Reserva,1
Curtes,1
Loiser Berg,1
Dietro Le Case,1
Little Fawn,1
Moganazzi Volta Sciara Rosso,1
VXVII,1
Martinelli Road Vineyard,1
Pistus Rosso,1
Estate Bottled Unoaked,1
Ampakama Estate Bottled,1
Estate Bottled Yellow Dog Vineyard,1
ZVY-GELT,1
Besson Vineyard Old Vines,1
Punto y Coma Viñas Viejas,1
The Mentors,1
Claim 431 Vineyard,1
Sunnydaze,1
Masterpeace Red Blend,1
Libelula by Roc,1
Santar Reserva,1
Cent'Anni Riserva,1
Silver Scallop,1
Guarda Blend,1
P. Honorii Bertinoro Riserva,1
Deux Vert Vineyard,1
Cellar Select Flood Family Vineyards,1
Nessuno,1
Dead Heat,1
Mery nel Cielo,1
Tamboerskloof,1
Botrytis Single Berry Select Late Harvest,1
Rio San Benito Vineyard,1
The Lioness Estate Grown,1
Cuvée Matia,1
TNT Vineyard,1
Cuvée Non-Sulfité,1
Little Rascal Estate Grown,1
Cabernet Sauvignon–Merlot–Malbec,1
Tacchetto,1
Clos Triguedina Malbec,1
Sangiovese-Bonarda,1
Frolic,1
Rangen de Thann Grand Cru Clos Saint-Théobald Sélection de Grains Nobles,1
Scharzhofberger Auslese #4,1
Erdener Prälat Goldkap Beerenauslese,1
Five Vines Estate,1
di Milazzo,1
Three Sons,1
Cuvée Moriah,1
Graach Josephshöfer Trocken GG,1
Heather's Hill Estate Grown,1
Flood Family Vineyard,1
Vallado Prima Branco,1
Twenty Bench,1
Quinn,1
The Jetty,1
Amaranto,1
La Grande Dame Brut Rosé,1
Rich Silky Smooth,1
Areté Vineyards Dry,1
Quipu Blend,1
Spigel,1
Raza Escolha,1
Gries Prestige Line Riserva,1
Purato Organic Wine,1
Rosamara,1
Las 2ces,1
Poderi di Carlo,1
Little Wing,1
Les Hauts de Smith,1
Rosé de Laville,1
Leorie Vineyard,1
Manitou 5 Grape Blend,1
Riverstone,1
Limited Resource Estate Grown,1
Fossa Granara,1
Zagreo,1
Agios Onoufrios,1
Single-Site,1
Tovo Al Pigno,1
Jordan,1
Reserve Dionysus Vineyard,1
Jamilla's Vineyard,1
Blanc de Neu,1
True White Lot 1,1
Tahuan Siesta En El Tahuantinsuyu,1
Privat Mirgin Brut Nature Gran Reserva,1
La Barre,1
Partners' Reserve,1
Partners' Reserve Library Selection,1
Thomas Haag SL Kabinett,1
Revolución,1
Malbec Made From Organically Grown Grapes,1
Fusion Red,1
Zelo Rosso,1
Les Pionniers,1
Barrel Fermented RTR Estate Vineyard,1
Extra Brut Millésimé,1
die Leidenschaft,1
Lady de N. Cuvée Elevé en fûts de Chêne Brut,1
Raif,1
Marjorie's Corchaug Estate,1
Pinot & Co.,1
Lip Stinger French Creek Vineyard,1
Philippe Starck Brut Nature,1
Alondra de los Prados,1
Montemeraviglia,1
Rive di Soligo Dosaggio Zero,1
Great Oaks Vineyard,1
Crussi,1
Scarlet Five Wildcreek Canyon,1
La Pilar Reserva,1
Ancienne Gourmand,1
Three Ton Oak Free,1
Fabrizio Bianchi,1
Rifall,1
Le Vintage Premier Cru Extra Brut,1
'S',1
Sette 7,1
Can Feixes Blanc Selecció,1
Coeur Estérelle,1
Kosher Yasmin White,1
Cuvée Géraldine,1
Estate Syrah-Mourvèdre,1
Berger Gei,1
What's for Dinner? Tinto,1
Biodynamie,1
9,1
Viper,1
Les Ligériens,1
Cuvée Raphael,1
Cuvée del Fondatore Rive di Col San Martino Brut,1
Le Buche,1
Plavis,1
L'Andéol,1
Agricultura Ecológica,1
Rosedale Block,1
Les Sangliers,1
Violet Rose,1
Robanera Abboccato,1
Chaminé Tinto,1
Noble Alianza Reserva Marselan-Tannat-Merlot,1
Caywood East Vineyard,1
Big River Ranch,1
Clos Prieur Premier Cru,1
Piedi Grandi,1
Cà Florian Riserva,1
Coma Vella,1
Demuth Vineyard,1
Zohar Adama II,1
Boscoselvo,1
Branco de Curtimenta,1
"Precious Stone, Stone Corral Vineyard",1
Trei Hectare Roze,1
"Sleeper Vineyard, Old Vine",1
Lily Pad Noir,1
JP Azeitão Moscatel Graudo-Fernão Pires,1
Signature Barrel Fermented,1
Vigna del Lago Riserva,1
Living in the Limelight,1
Le Petit du Château de Lagarde,1
Femme de Champagne Brut,1
Sagemoor Vineyards Reserve Red,1
Protagonist Red,1
Les Graves de Paul,1
Perpetual,1
Estate Umiker Vineyard,1
Rafaèl,1
Spitzer 1000 Eimerberg Smaragd,1
Belle Epoque Edition Première Brut,1
Marea Wild Ferment,1
Companhia das Lezirias Herdade de Catapereiro,1
L'Originel,1
Renaissance Sec,1
Le Duras,1
Riedencuvée,1
Chateauneuf du Stark,1
Curatolo Arini,1
Black Peak,1
Edition Gustav Klimt Blanc de Blancs Brut,1
Contado Riserva,1
Vinha da Foz,1
Brandhof,1
A Red Wine,1
Zin Nymph,1
Octopussy,1
Home Ranch Two Bud Block Single Vineyard Collection,1
Anthologia Parcelle No A299,1
Classique Bourboulenc-Grenache-Roussane,1
Medrano Estate,1
Salana,1
Weiss Heideboden,1
Perric One,1
Dry Red Agiorgitiko-Cabernet Sauvignon,1
Metricup Road,1
Château de l'Aumérade,1
Fidelitas Estate Vineyard,1
Jazz,1
Bisamberg-Wien,1
Keuka Hill Reserve,1
Château des Ferrages Roumery,1
Liante,1
Summer Storm Estate,1
Ketch,1
Gambarin,1
Torre di Giano,1
Tribute Edicion Limitada Carmenère-Malbec,1
Béla-Jóska,1
Phiculle,1
Aria Pinot Noir Brut,1
Serrado Colheita,1
Emeri Sparkling,1
Chesnut Family Vineyard,1
Neal,1
Elixir Dix Vins Premier Cru Demi-Sec,1
Vale de Cavalhos,1
Stonewell,1
Fantastique,1
1935 Vieilles Vignes,1
Thirty Six,1
St. Georg,1
Jack Rabbit Flat Vineyard,1
Maipe,1
Grandpère Special Reserve,1
Selvans,1
Pellet Vineyard Henry's Reserve,1
Señor Sierra de Alicante,1
Klassik-Cuvée,1
Il Clou,1
Etoile,1
Unsteiner Herrenberg GG Dry,1
Jeio,1
Pinot Doonier,1
Bien Nacido Vineyard Block Q Old Vine,1
Viña Magna Reserva,1
Coteau de la Biche Sec,1
Barquinha Reserva,1
Domaine de Lancyre Val de Monteferrand,1
Quinta do Cruzeiro Reserva,1
Grand Passage,1
Blair Vineyard Rose of,1
Las Notas de Jean Claude,1
Treborce,1
Luxury Collection,1
Therese Vineyards Dos Niñas Vineyard,1
Fizz,1
The Pennant Hand Selected Limited Release,1
Secco Pink Ribbon,1
Agapane Brut,1
Primaio,1
Eggo Blanc de Cal,1
La Demoiselle des Bourgeois,1
Effe 55 Gran Selezione,1
The Lodge Hill,1
La Matinière,1
Ètim Varema Tardana Negre,1
Charles Wetmore,1
Les Meslaines Grand Cru Brut,1
J Nicole's Vineyard Estate Grown,1
Cuvée Les Amours,1
Pure Brut Nature,1
Le Grand Rossignol,1
La Chenaie,1
Brut Grand Cru Blanc de Blancs,1
Demestica Semi Dry,1
Clos Saint Landelain Vorbourg Grand Cru Vendanges Tardives,1
La Tourtine,1
Vigna Senza Nome,1
Finca Valdehierro 16 Meses Barrica,1
Bebop,1
Shorthorn Canyon,1
Paesaggio Inatteso,1
Baranoff Vineyard Estate Grown,1
Poseidon Vineyard Limited Release,1
La Scala Brut,1
Estate Cuvée Rosé of,1
Brut Tradition Millésime,1
Château Clairac Grande Réserve,1
Estate Rosato di,1
Row 22 Reserve,1
Les Garances,1
Muddichi di Suli,1
Vinha do Reino Reserva,1
Grande Cuvée Brut Millésime,1
Poças Reserva Branco,1
Stormy Morning Vineyard,1
Ried Kittmannsberg Reserve,1
Höhlgraben Reserve Alte Reben,1
Richard's Cuvée Whistling Ridge Vineyard,1
Vigna Turbian,1
The Third Man,1
Conscio,1
Estate Vineyards Charlotte's Home,1
Cervo Northridge Vineyard,1
Vitikult Riede Neuberg,1
Rüdesheim Pinot Sekt,1
Riserva Lumen,1
Riot,1
Tregaso,1
Cuvée Famille Willm,1
Las Lilas,1
Le Roi des Pierres,1
Art Terra,1
Torre Butria Riserva,1
Châtenay,1
Whale Rock Vineyard Reserve,1
Methven Familly Vineyards Cru,1
Colbello Extra Dry,1
Block II & Langley,1
Serie Riberas Gran Reserva Ribera del Tinguiririca Marchigue,1
C.A.V. Vinha Unica,1
L'Enclose de Ramage,1
Pale Pink,1
Rupestris,1
Collection Tramier,1
Mas Suau Brut Rosé,1
Tracy Hills,1
Garnacha by Artazu,1
Cle Brut Metodo Classico,1
Talento Brut Rosé,1
Hacienda de ArínzanoRosé,1
Zvy-Gelt,1
Gap's Crown Vineyard Clone 667 Three Barrel Selection,1
Big Sissy,1
El Rincón,1
Les Pierrets,1
Roza Hills,1
Amado Sur Chardonnay-Pinot Grigio-Viognier,1
Red Tail,1
Viola,1
Steelhead Vineyard,1
Villars-sur-Var,1
Ceppeto,1
Amantis,1
Classic Collection Winemaker Series,1
Ferris Wheel Vineyard Estate,1
Haute Tradition,1
L'Erta di Radda,1
Ku,1
Première Cuvée Extra Brut Rosé,1
Inertia,1
Pinoli Vineyard,1
Clonal Select,1
TLB,1
Côtes du Cruz,1
Saggio Series X,1
Znovín Znojmo,1
Cot Reserva Limited Edition,1
Ciel du Cheval Red,1
Orfèvre en Arôme,1
Manzana Vineyard Dutton Ranch,1
Blanc de Blancs Millésimé Brut,1
Cuvée Secret de,1
Kruse Vineyard,1
